devicename,releasedate,manufacturer
Alta,2016-03-29,Fitbit
Alta HR,2017-02-25,Fitbit
UP2,2015-06-02,Jawbone
UP3,2015-06-24,Jawbone
UP Move,2015-03-09,Jawbone
Aktivitätssensor SAS 75,2014-09-03,Sanitas
PS-500,2014-09-21,Epson
Fuelband,2014-06-10,Nike
One Aktivitäts- und Schlaf-Tracker,2012-09-30,Fitbit
M450,2015-04-24,Polar
Edge 510,2013-01-11,Garmin
Oregon 300,2008-08-07,Garmin
Foretrex 401,2009-07-23,Garmin
Approach G10,2016-02-29,Garmin
Approach S3,2012-04-20,Garmin
Approach X40,2016-06-08,Garmin
Approach S20,2016-02-09,Garmin
Approach S6,2014-08-09,Garmin
Pulskopfhörer,,Jabra
mp3-Player,,Sonstige
Stoppuhr,,Sonstige
Analoge Uhr,,Sonstige
Schrittzähler,,Sonstige
Armbanduhr,,Casio
Brustgurt,,Polar
